,Requirements for,ELECTRICAL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,Unnamed: 8,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
34,   ECE 250,,Electronic Device Modeling,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
35,   ECE 300,,Continous-Time Signals & Systems,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
36,   ECE 310,,Communications Systems,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
37,   ECE 320,,Linear Control Systems,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
38,   ECE 340,,Electromagnetic Fields,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
39,   ECE 341,,Electromagnetic Waves,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
40,   ECE 351,,Analog Electronics,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
41,   ECE 362,,Principles of Design,3 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
42,   ECE 370 (or 371),,Power & Energy Syst (or Sustainable Energy Syst),4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
43,   ECE 380,,Discrete Time & Cont Sys,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
44,   ECE 460,,Engineering Design I,3 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
45,   ECE 461,,Engineering Design II,4 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
46,   ECE 462,,Engineering Design III,2 credits,,,required for first major in electrical engineering; required for second major in electrical engineering,,
47,   ECE Area Elect,,ECE Elective,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,," Two must be ECE; One may be CSSE
 Two must be 400 level or above; One may be 300 level"
48,   ECE Area Elect,,ECE Elective,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
49,   ECE Area Elect,,ECE Elective ,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
50,Electives,20 credits,,,,,,,
51,,,Math Elective,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,, Not MA351 - MA356
52,,,Math/Science Elective,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
53,,,Technical Elective,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
54,,,Free Elective,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,," ECE206 or ECE207 are not
 permitted as Free Electives"
55,,,Free Elective,4 credits,,,required for first major in electrical engineering; not required for second major in electrical engineering,,
56,,194 credits, - EE Total Credit Hours Required -,194 credits,,,,,
