,Requirements for,MATHEMATICS,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,Unnamed: 8,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
36,   MA __________,,,4 credits,,,required for first major in mathematics; required for second major in mathematics,,"    Mathematics Core:  MA367, MA376 and one of MA433, MA436, MA446, MA481"
37,   MA __________,,,4 credits,,,required for first major in mathematics; required for second major in mathematics,,"    Continuous Applied Math Core:  MA330, MA336, MA433"
38,   MA __________,,,4 credits,,,required for first major in mathematics; required for second major in mathematics,,"    Discrete Applied Math Core: MA375, MA444 and one of MA376, MA475, MA476, MA477"
39, Mathematics Electives,,Not MA351-356 and not MA450,,,,,,"    Statistics & Operations Resrch Core: MA382, MA444 and one of MA445, MA446, MA481, MA485, MA487"
40,   MA __________,, ,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
41,   MA __________,, ,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
42,   MA __________,, ,4 credits,,,required for first major in mathematics; required for second major in mathematics,,
43,Technical Electives,24 credits,"Must be 200 level or above in Engineering, Science or Econ; non-mathematics",,,,,,
44,,,Technical Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
45,,,Technical Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
46,,,Technical Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
47,,,Technical Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
48,,,Technical Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
49,,,Technical Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
50,Electives,28 credits,,,,,,,
51,,,Free Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
52,,,Free Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
53,,,Free Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
54,,,Free Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
55,,,Free Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
56,,,Free Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
57,,,Free Elective,4 credits,,,required for first major in mathematics; not required for second major in mathematics,,
58,,195 credits, - MA Total Credit Hours Required -,195 credits,,,,,
