,Requirements for,BIOMEDICAL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major
36,   BE 218,,Design Methodologies,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
37,   BE 222,,Mechanics of Materials,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
38,   BE 228,,Design Leadership & Teamwork,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
39,   BE 232,,Biomechanics,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
40,   BE 233,,Biomaterials,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
41,   BE 238,,Regulatory affairs & Product Design,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
42,   BE 314,,Musculoskel Syst Physio w/Apps,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
43,   BE 315,,Biomedical Engineering Lab I,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
44,   BE 318,,Medical Device Research & Design,3 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
45,   BE 321,,Biosignal Processing,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
46,   BE 324,,Neural & Endocrine Syst Physio w/Aps,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
47,   BE 328,,Capstone Design I:Dsng Prod for Real Wld,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
48,   BE 334,,"Cardiovas, Resp, Renal Sys Physio",4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
49,   BE 335,,Biomedical Engineering Lab II,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
50,   BE 338,,Capstone Design II: Prod Desn & Proto,4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
51,   BE 418,,"Capstone Design III: Prod Verif, Validtn",4 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
52,   BE 428,,Capstone Design IV: Integr Prod Desn,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
53,   BE 438,,Engineering Portfolio Development,2 credits,,,required for first major in biomedical engineering; required for second major in biomedical engineering
54,Electives,24 credits,,,,,
55,,,AIM Elective,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
56,,,AIM Elective,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
57,,,AIM Elective,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
58,,,AIM Elective,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
59,,,AIM Elective,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
60,,,AIM Elective,4 credits,,,required for first major in biomedical engineering; not required for second major in biomedical engineering
61,,195 credits, - BE Total Credit Hours Required -,195 credits,,,
