,Requirements for,ENGINEERING DESIGN,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,
34,  ENGD 271,,Vertically Integrated Project II,2 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
35,  ENGD 300,,Engineering Design Practicum I,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
36,  ENGD 301,,Engineering Design Practicum II,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
37,  ENGD 302,,Engineering Design Practicum III,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
38,  ENGD 303,,Engineering Design Practicum IV,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
39,  IA 299,,Social Capstone,2 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
40,  MDS 410,,Multidisciplinary Capstone Desn I,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
41,  MDS 420,,Multidisciplinary Capstone Desn II,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
42,  MDS 430,,Multidisciplinary Capstone Desn III,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
43,,,Concentration Course 1,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
44,,,Concentration Course 2,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
45,,,Concentration Course 3,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
46,,,Concentration Course 4,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
47,,,Concentration Course 5,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
48,,,Concentration Course 6,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
49,Electives,8 credits,,,,,
50,,,Math/Science Elective,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
51,,,Math/Science Elective,4 credits,,,required for first major in engineering design; No information is provided about whether this course is required for second major in engineering design
52,,184 credits, - EE Total Credit Hours Required -,184 credits,,,
