,Requirements for,OPTICAL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
36,   OE 393,,Fiber Optics & Applications,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
37,   OE 395,,Opto-Mech & Optical Eng Lab,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
38,   OE 415,,Opt Engr Design I,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
39,   OE 416,,Opt Engr Design II,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
40,   OE 417,,Opt Engr Design III,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
41,   OE 450,,Laser Systems,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
42,   OE 480,,Lens Design and Abberations,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
43,   OE 495,,Optical Metrology,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
44,   PH 235,,Many-Particle Physics,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
45,   PH 255,,Foundations of Modern Physics,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
46,   PH 292,,Physical Optics,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
47,   PH 316,,Electric and Magnetic Fields,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
48,   PH 405,,Semicond Materials & Applications,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
49,   PH/OE/EP _______,,PH/OE/EP Elective,4 credits,,,required for first major in optical engineering; required for second major in optical engineering,
50,Electives,20 credits,,,,,,The engineering electives may need to be filled as indicated if not
51,   Engineering Elective,,,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
52,   Engineering Elective,,,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
53,   Free Elective,,,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
54,   Free Elective,,,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
55,   Free Elective,,,4 credits,,,required for first major in optical engineering; not required for second major in optical engineering,
56,,194 credits, - OE Total Credit Hours Required -,194 credits,,,,
