,Requirements for,CHEMISTRY,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
31,   CHEM 253,,"Organic Chemistry III (Lect@3,Lab@1)",4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
32,   CHEM 291,,Intro to Undergraduate Research,3 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
33,   CHEM 326,,Bioanalytical Chemistry,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
34,   CHEM 327,,Advanced Analytical Chemistry,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
35,   CHEM 330,,Biochemistry,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
36,   CHEM 361**,,Physical Chemistry I ,4 credits,,," ** CHE 303, CHE 304 and CHEM 360 may be
  substituted for CHEM 361 and CHEM 362"
37,   CHEM 362**,,Physical Chemistry II ,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
38,   CHEM 363,,Quantum Chem & Molec Spect,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
39,   CHEM 395,,Chemistry Seminar,0 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
40,   CHEM 441,,Inorganic Chemistry I,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
41,   CHEM 442,,Inorganic Chemistry II,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
42,   CHEM 490,,Research Rotation,2 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
43,   CHEM 490,,Research Rotation,2 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
44,   CHEM 490,,Research Rotation,2 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
45,   CHEM 491,,Research Thesis,1 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
46,   CHEM 495,,Chemistry Seminar,0 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
47,   CHEM 496,,Chemistry Seminar,0 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
48,   CHEM 497,,Senior Presentation,1 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
49,   CHEM _________,,Advanced CHEM Elective        (JR/Spr),4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
50,   CHEM _________,,CHEM Elective                        (SR/Fall),4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
51,   CHEM _________,,Advanced CHEM Elective        (SR/Fall),1 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
52,   CHEM _________,,Advanced CHEM Elective        (SR/Wint),1 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
53,   CHEM _________,,Advanced CHEM Elective        (SR/Spr),1 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
54,Electives,32 credits,,,,,
55,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
56,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
57,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
58,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
59,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
60,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
61,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
62,,,Free Elective,4 credits,,,required for first major in chemistry; no information is provided about whether this course is required for second major in chemistry
63,,191 credits, - CHEM Total Credit Hours Required -,191 credits,,,
