,Requirements for,CIVIL ENGINEERING,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,
38,   CE 441,,Construction Engineering,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
39,   CE 450,,CE Codes & Regulations,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
40,   CE 460,,Environmental Engineering,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
41,   CE 461,,Environmental Engineering Lab,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
42,   CE 471,,Water Resources Engineering,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
43,   CE 486,,CE Design & Synthesis I,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
44,   CE 487x,,Technical System Design & Synthesis,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
45,   CE 488,,CE Design & Synthesis II,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
46,   CE 489,,CE Design & Synthesis III,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
47,   CE _________,,CE Elective #1 - CE400 or 500 Level,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
48,   CE _________,,CE Elective #2 - CE400 or 500 Level,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
49,   EM 102,,Graphical Comm for Civil Engr,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
50,   EM 103,,Intro to Design,2 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
51,   EM 120,,Engineering Statics,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
52,   EM 202,,Dynamics,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
53,   EM 203,,Mechanics of Materials,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
54,   EM 301,,Fluid Mechanics,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
55, Two of the following,,"CE205, CHE 201, CHE202 or 
both ES213 and ES213L",4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
56,   four courses: ,,,4 credits,,,
57,Electives,16 credits,,,,,
58,,,Science Elective,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
59,,,"Science Elect  (Excluding CHEM,PH)",4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
60,,,Technical Elective,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
61,,,Technical Elective,4 credits,,,required for first major in civil engineering; no information is provided about whether this course is required for second major in civil engineering
62,,186 credits, - CE Total Credit Hours Required -,194 credits,,,
