,Requirements for,International Computer Science,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,
34,   CSSE 304,,Programming Language Concepts,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
35,   CSSE 332 (Ulm),,Operating Systems,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
36,   CSSE 333,,Database Systems,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
37,   CSSE 371 (Ulm),,Software Requirements Engineering,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
38,   CSSE 374 (Ulm),,Software Design,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
39,   CSSE 400 (Ulm),,Seminar,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
40,   CSSE 432 (Ulm),,Computer Networks,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
41,   CSSE 473 (or MA),,Design & Analysis of Algorithms,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
42,   CSSE 474 (or MA),,Theory of Computation,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
43,   CSSE 494,,SR Thesis I,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
44,   CSSE 495,,SR Thesis II,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
45,   CSSE 496,,SR Thesis III,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
46,   CSSE _________,,CSSE Elective - Module 1 - Ulm,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
47,   CSSE _________,,CSSE Elective - Module 2 - Ulm,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
48,Electives,20 credits,,,,,
49,,,Science Elective,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
50,,,Free Elective,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
51,,,Free Elective,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
52,,,Free Elective,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
53,,,Free Elective,4 credits,,,required for first major in international computer science; No information is provided about whether this course is required for second major in international computer science 
54,,192 credits, - ICS Total Credit Hours Required -,192 credits,,,
