,Requirements for,COMPUTER ENGINEERING,COMPUTER ENGINEERING.1,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,whether required for second major,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
36,   ECE 230,,Intro to Embedded Systems,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
37,   ECE 233,,Intro to Digital Systems,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
38,   ECE 250,,Electronic Device Modeling,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
39,   ECE 300,,Continuous Time Signals & Systems,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
40,   ECE 312,,Communication Networks,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
41,   ECE 332,,Computer Architecture II,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
42,   ECE 343,,High Speed Digital Design,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
43,   ECE 362,,Principles of Design,3 credits,,,required for first major in computer engineering; required for second major in computer engineering,
44,   ECE 380 or 320,,Discr Time & Cont Sys or Lin Cont Sys,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
45,   ECE 460,,Engineering Design I,3 credits,,,required for first major in computer engineering; required for second major in computer engineering,
46,   ECE 461,,Engineering Design II,4 credits,,,required for first major in computer engineering; required for second major in computer engineering,
47,   ECE 462,,Engineering Design III,2 credits,,,required for first major in computer engineering; required for second major in computer engineering,
48,   ECE 4xx/5xx,,Area Elective 4xx/5xx,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,"Area Electives must be ECE
prefix and 400 level or above"
49,   ECE 4xx/5xx,,Area Elective 4xx/5xx,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
50,   ECE 4xx/5xx,,Area Elective 4xx/5xx,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
51,Electives,16 credits,,,,,,
52,,,Math or Science Elective,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,Not MA351 - MA356
53,,,Technical Elective,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
54,,,Free Elective,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering, ECE206 is not permitted as a Free Elective
55,,,Free Elective,4 credits,,,required for first major in computer engineering; not required for second major in computer engineering,
56,,194 credits, - CPE Total Credit Hours Required -,194 credits,,,,
