,Requirements for,PHYSICS,Unnamed: 2,Unnamed: 3,...Catalog Year 2023-2024,Unnamed: 5,
37,   PH 327,,Thermodynamics & Stat Mech I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
38,   PH 401,,Quantum Mechanics,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
39,   PH 405,,Semicond Materials & Devices I,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
40,   PH 425,,Advanced Physics Lab II,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
41,   OE 450,,Laser Systems & Applications,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
42,,,Physics Elective #1 *,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
43,,,Physics Elective #2 *,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
44,,,Physics Elective #3 *,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
45,Electives,36 credits,,,,,
46,,,Technical Elective #1,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
47,,,Technical Elective #2,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
48,,,Technical Elective #3,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
49,,,Technical Elective #4,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
50,,,Technical Elective #5,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
51,,,Free Elective #1,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
52,,,Free Elective #2,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
53,,,Free Elective #3,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
54,,,Free Elective #4,4 credits,,,required for first major in physics; No information is provided about whether this course is required for second major in physics
55,,192 credits, - PH Total Credit Hours Required -,192 credits,,,
56,,,* At least two of these credits must be directed research (PH290 or PH490) with at least one credit of PH490,,,,
