Requirements for,MATHEMATICS,,,...Catalog Year 2023-2024,,"If this is the 1st/Primary  major and the Course Requirement to the left
will not be taken, note 
the Approved Course Substitution below.","If this is the 2nd major, an X below indicates that the course is required and must be taken (or note
the Approved Course Substitution).",,,"NOTE about ""Elective"" course requirements:  When completing a double major or two degree plan of study, it is not necessary to be specific on any ""Electives"" unless the class to be taken to fill an elective is required for one of the majors.  This will allow you more flexibility in scheduling and avoid the need to later file a revised plan of study.  If a specific course is listed to fulfill an elective, that specific course must then be taken."
   MA __________,,"Senior Capstone  MA496, 497, 498",8,,,,X,Or 1st Major CrseSub*,,  *Primary Major Senior Thesis or (Primary Major Senior Capstone + MA 491) allowed
 Selected MA Core,,"Specify ""Core"" to be completed**",,,,,,,,**Mathematics Core Options
   MA __________,,,4,,,,X,,,"    Mathematics Core:  MA367, MA376 and one of MA433, MA436, MA446, MA481"
   MA __________,,,4,,,,X,,,"    Continuous Applied Math Core:  MA330, MA336, MA433"
   MA __________,,,4,,,,X,,,"    Discrete Applied Math Core: MA375, MA444 and one of MA376, MA475, MA476, MA477"
 Mathematics Electives,,Not MA351-356 and not MA450,,,,,,,,"    Statistics & Operations Resrch Core: MA382, MA444 and one of MA445, MA446, MA481, MA485, MA487"
   MA __________,, ,4,,,,X,,,
   MA __________,, ,4,,,,X,,,
   MA __________,, ,4,,,,X,,,
Technical Electives,24,"Must be 200 level or above in Engineering, Science or Econ; non-mathematics",,,,,,,,
,,Technical Elective,4,,,,,,,
,,Technical Elective,4,,,,,,,
,,Technical Elective,4,,,,,,,
,,Technical Elective,4,,,,,,,
,,Technical Elective,4,,,,,,,
,,Technical Elective,4,,,,,,,
Electives,28,,,,,,,,,
,,Free Elective,4,,,,,,,
,,Free Elective,4,,,,,,,
,,Free Elective,4,,,,,,,
,,Free Elective,4,,,,,,,
,,Free Elective,4,,,,,,,
,,Free Elective,4,,,,,,,
,,Free Elective,4,,,,,,,
,195, - MA Total Credit Hours Required -,195,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
